CSPI,CXM,DUOL,ENFN,INTC,LDOS,MLAB,PAY,SMCI,SPLK
0.001976876574137209,4.069406448109328e-05,0.00025271159305835245,4.7152071019742115e-05,8.670867705205805e-05,4.7692190135772974e-05,-0.00014901208348694762,1.8591374723227517e-05,1.0169598794273912e-05,2.9495740870145013e-05
4.069406448109328e-05,0.0010258711710586044,0.00025522538809381277,0.00015030736735241175,0.00012737890155954678,5.539145286474211e-05,4.9986042385792445e-05,0.0001692912003363142,0.00016096448054794607,0.00015094947465434032
0.00025271159305835245,0.00025522538809381277,0.0013283143394629206,0.000117161449805347,0.0002036101262267916,7.135474167173898e-05,5.1062038026485295e-05,0.00014692676810196367,0.0002394170956361479,0.00018821361148867963
4.7152071019742115e-05,0.00015030736735241175,0.000117161449805347,0.0008587173192179645,0.00012161440080276196,5.23772232339901e-05,0.000173758295937767,6.581238976684941e-05,0.00012999115583688808,6.345518037076842e-05
8.670867705205805e-05,0.00012737890155954678,0.0002036101262267916,0.00012161440080276196,0.0005864191989542183,4.314353980360339e-05,0.00011453084142172425,6.333807388275435e-05,0.00024305983679483216,0.0001097263436451031
4.7692190135772974e-05,5.539145286474211e-05,7.135474167173898e-05,5.23772232339901e-05,4.314353980360339e-05,0.0002653581718140685,6.766202007322328e-05,8.420031949458289e-05,4.584308078054841e-05,3.22541011923727e-05
-0.00014901208348694762,4.9986042385792445e-05,5.1062038026485295e-05,0.000173758295937767,0.00011453084142172425,6.766202007322328e-05,0.0008061642554494356,0.00020432824710236202,8.810076837959158e-05,7.346948077917779e-05
1.8591374723227517e-05,0.0001692912003363142,0.00014692676810196367,6.581238976684941e-05,6.333807388275435e-05,8.420031949458289e-05,0.00020432824710236202,0.0012260886609389544,9.885618884095577e-05,8.655530995841358e-05
1.0169598794273912e-05,0.00016096448054794607,0.0002394170956361479,0.00012999115583688808,0.00024305983679483216,4.584308078054841e-05,8.810076837959158e-05,9.885618884095577e-05,0.0022320405500854353,0.00012309590431732983
2.9495740870145013e-05,0.00015094947465434032,0.00018821361148867963,6.345518037076842e-05,0.0001097263436451031,3.22541011923727e-05,7.346948077917779e-05,8.655530995841358e-05,0.00012309590431732983,0.0005660455124988521
