,0
0,0.11460056939464172
1,0.14865881531468195
2,-0.2492348732389266
3,-0.10489302876189292
4,-0.32382839943380254
5,-0.06707001825812624
6,-0.3336425507373388
7,0.12682058976373675
8,0.10692962936737359
9,0.54284308880943
