CELH,CLX,EL,ELF,MMYT,ONON,SHAK,SOVO,STRT,WING
0.001143984252753177,9.630842977992916e-05,0.00010097416243376881,0.00016643444075226373,0.00010030195284056521,0.0002718113530914039,0.0001366629164178647,8.989429321009823e-05,0.00011353439209571035,0.0001454456828283446
9.630842977992916e-05,0.00024519183226221283,8.450820672155349e-05,0.00010952171102193654,3.188540589358251e-05,7.376469041910259e-05,-1.9364346888250268e-05,1.486756408489319e-05,-6.573394349411129e-06,6.007823021321365e-05
0.00010097416243376881,8.450820672155349e-05,0.0006640918863699284,0.00016196727545751368,7.641310538006054e-05,0.0001923232151100915,0.00012894218124492852,2.986243054167857e-06,4.20223375646978e-05,-7.569240674042787e-05
0.00016643444075226373,0.00010952171102193654,0.00016196727545751368,0.0010774409381032685,0.0001215793242335959,0.00018793625766257298,0.00013860199545320722,6.328873969718627e-05,-4.413595681749229e-05,8.028715579227853e-05
0.00010030195284056521,3.188540589358251e-05,7.641310538006054e-05,0.0001215793242335959,0.0004304187130595002,9.361820984536045e-05,5.817736625797175e-05,7.643054685037732e-07,2.2998558537686265e-05,4.7422974442407245e-05
0.0002718113530914039,7.376469041910259e-05,0.0001923232151100915,0.00018793625766257298,9.361820984536045e-05,0.0012364584081547055,0.00015244995254434982,0.00012438863376592103,0.00016476327289436315,0.00011683060486362245
0.0001366629164178647,-1.9364346888250268e-05,0.00012894218124492852,0.00013860199545320722,5.817736625797175e-05,0.00015244995254434982,0.0006587313125745006,3.900018747392103e-05,5.416789489515068e-05,0.0001182307053315983
8.989429321009823e-05,1.486756408489319e-05,2.986243054167857e-06,6.328873969718627e-05,7.643054685037732e-07,0.00012438863376592103,3.900018747392103e-05,0.0005225413661693183,-6.344351230376382e-07,7.43869530389066e-05
0.00011353439209571035,-6.573394349411129e-06,4.20223375646978e-05,-4.413595681749229e-05,2.2998558537686265e-05,0.00016476327289436315,5.416789489515068e-05,-6.344351230376382e-07,0.0007165393480074554,1.571347727916937e-05
0.0001454456828283446,6.007823021321365e-05,-7.569240674042787e-05,8.028715579227853e-05,4.7422974442407245e-05,0.00011683060486362245,0.0001182307053315983,7.43869530389066e-05,1.571347727916937e-05,0.0004981240986545069
